"Record Type","Setup Sequence","Organization Type","Organization Shortname","Organization Sort Order","Organization Enabled","User Types (name|shortname|sort)","Profile Forms (name|shortname|user type)","Category","Category Shortname","Category Sort Order","Category Collapsed","Field","Existing / New","Field Shortname","Field Description","Field Type","Core Field Mapping","Field Library Required","Form Required Override","Readonly Override","Visible Override","Uniqueness Scope","Visible","Read Only","Sensitive","Field Enabled","Default Value","Options JSON","Validation JSON","Field Sort Order","Applies To User Types","Applies To Profile Forms","Configuration Screen","Display / Mapping Rules","Ownership / Security Notes","Company Mapping Example","Source Reference"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","Shared employment fields: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_employment_library","","Yes","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Employment","employment","40","No","Full-Time Equivalent","New (plugin-defined)","fte","Full-Time Equivalent","decimal","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""min"":0,""max"":1}","50","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Field Library; Form Categories; Form Fields","Decimal between 0 and 1, for example 0.5 or 1.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Create each shared employment field once and reuse it across the listed organization forms.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","Shared employment fields: School; University; Training Institute; Consulting Firm; Corporate Organization; Hospital / Healthcare; Government Organization; NGO / Foundation; College; Vocational Institute","shared_employment_library","","Yes","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Employment","employment","40","No","Remote / Field Worker","New (plugin-defined)","remote_or_field_worker","Remote / Field Worker","boolean","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","","60","Teacher; Principal; Faculty; Researcher; Staff; Trainer; Coordinator; Assessor; Consultant; Project Manager; Partner; Operations Staff; Employee; Instructor; Manager; Contractor; Clinical Staff; Nursing Staff; Allied Health Professional; Administrative Staff; Officer; Contract Staff; Field Worker; Program Manager; Non-Teaching Staff; Placement Officer; Administrator","All employment-related profile forms identified by Applies To User Types","Field Library; Form Categories; Form Fields","Boolean profile attribute only; authorization is capability-based.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Create each shared employment field once and reuse it across the listed organization forms.","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Basic Information","basic_information","10","No","Date of Birth","New (plugin-defined)","date_of_birth","Date of Birth","date","","No","Yes","Inherit","Inherit","none","Yes","No","Yes","Yes","","","{""required"":true,""date"":true}","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Basic Information","basic_information","10","No","Gender","New (plugin-defined)","gender","Gender","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","{""female"":""Female"",""male"":""Male"",""transgender"":""Transgender"",""other"":""Other"",""prefer_not"":""Prefer not to say""}","","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Basic Information","basic_information","10","No","Mother Tongue","New (plugin-defined)","mother_tongue","Mother Tongue","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","30","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from Menu/Text to one supported type"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Basic Information","basic_information","10","No","Nationality","New (plugin-defined)","nationality","Nationality","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","40","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Generalized from India-only attached values"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","Admission Number","New (plugin-defined)","school_admission_number","Admission Number","text","","No","Yes","Inherit","Inherit","company","Yes","No","No","Yes","","","{""minlength"":2,""maxlength"":30}","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","GR Number","New (plugin-defined)","school_gr_number","GR Number","text","","No","Yes","Inherit","Inherit","company","Yes","No","No","Yes","","","{""maxlength"":30}","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","PEN / UDISE+ Student ID","New (plugin-defined)","school_pen_id","PEN / UDISE+ Student ID","text","","No","No","Inherit","Inherit","site","Yes","No","Yes","Yes","","","{""maxlength"":50}","30","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Use site uniqueness only if the authority guarantees global uniqueness. Dedicated sensitive capabilities required. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Consolidated duplicate PEN rows from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","APAAR ID","New (plugin-defined)","school_apaar_id","APAAR ID","text","","No","No","Inherit","Inherit","site","Yes","No","Yes","Yes","","","{""regex"":""/^[0-9]{12}$/""}","40","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Restricted identifier. Collect only where legally required; never include in logs or generic listings. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Consolidated duplicate APAAR rows from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","Roll Number","New (plugin-defined)","school_roll_number","Roll Number","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":30}","50","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Admission Date","New (plugin-defined)","school_admission_date","Admission Date","date","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""date"":true}","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Student Status","New (plugin-defined)","school_student_status","Student Status","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","{""active"":""Active"",""inactive"":""Inactive"",""transferred"":""Transferred"",""left"":""Left"",""alumni"":""Alumni""}","","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Medium of Instruction","New (plugin-defined)","school_medium","Medium of Instruction","menu","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","[""Gujarati"",""English"",""Hindi"",""Other""]","","30","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV; values are editable organization policy"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Education Board","New (plugin-defined)","school_board","Education Board","menu","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","[""GSEB"",""CBSE"",""CISCE/ICSE"",""IB"",""Other""]","","40","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Academic Stream","New (plugin-defined)","school_stream","Academic Stream","menu","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","[""General"",""Science"",""Commerce"",""Arts/Humanities"",""Vocational"",""Other""]","","50","Student","School Student Profile","Field Library; Form Categories; Form Fields","V1 has no conditional expressions; leave optional or use a dedicated form where Stream is required.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","School House","New (plugin-defined)","school_house","School House","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","60","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from school-specific menu to reusable text; can be changed to menu per institution"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Academic","academic","40","No","Previous School","New (plugin-defined)","previous_school","Previous School","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":200}","70","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Guardian / Family","guardian_family","70","No","Guardian Name","New (plugin-defined)","guardian_name","Guardian Name","text","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":150}","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Consolidated father/mother/guardian patterns from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Guardian / Family","guardian_family","70","No","Guardian Relationship","New (plugin-defined)","guardian_relationship","Guardian Relationship","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","{""mother"":""Mother"",""father"":""Father"",""grandparent"":""Grandparent"",""legal_guardian"":""Legal guardian"",""other"":""Other""}","","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Guardian / Family","guardian_family","70","No","Guardian Mobile","New (plugin-defined)","guardian_mobile","Guardian Mobile","phone","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""phone"":true,""minlength"":7,""maxlength"":20}","30","Student","School Student Profile","Field Library; Form Categories; Form Fields","For an India-only form, admin may additionally use regex /^[0-9]{10}$/.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from text to phone"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Guardian / Family","guardian_family","70","No","Guardian Email","New (plugin-defined)","guardian_email","Guardian Email","email","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""email"":true,""maxlength"":254}","40","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from text to email"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Health & Accessibility","health_accessibility","85","Yes","Medical Notes","New (plugin-defined)","school_medical_notes","Medical Notes","textarea","","No","No","Inherit","Inherit","none","Yes","No","Yes","Yes","","","{""maxlength"":2000}","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Restricted personal data; dedicated sensitive capabilities required. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Health & Accessibility","health_accessibility","85","Yes","Allergies","New (plugin-defined)","school_allergies","Allergies","textarea","","No","No","Inherit","Inherit","none","Yes","No","Yes","Yes","","","{""maxlength"":1000}","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Restricted personal data; not a clinical record system. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Transport","transport","75","Yes","Uses School Transport","New (plugin-defined)","uses_school_transport","Uses School Transport","boolean","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","","10","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from menu to boolean"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Transport","transport","75","Yes","Transport Mode","New (plugin-defined)","school_transport_mode","Transport Mode","menu","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","[""School Bus"",""Van"",""Private"",""Walking"",""Other""]","","20","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Transport","transport","75","Yes","Bus Route","New (plugin-defined)","school_bus_route","Bus Route","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":100}","30","Student","School Student Profile","Field Library; Form Categories; Form Fields","V1 cannot conditionally require this based on Uses School Transport.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Corrected from Text/Menu to text"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Transport","transport","75","Yes","Pickup Point","New (plugin-defined)","school_pickup_point","Pickup Point","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":200}","40","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","External ERP / SIS ID","New (plugin-defined)","school_external_student_id","External ERP / SIS ID","text","","No","No","Inherit","Inherit","company","Yes","No","No","Yes","","","{""maxlength"":100}","60","Student","School Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","Adapted from attached School CSV"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Identification","identification","30","No","Parent Reference Number","New (plugin-defined)","school_parent_reference","Parent Reference Number","text","","No","No","Inherit","Inherit","company","Yes","No","No","Yes","","","{""maxlength"":30}","70","Parent","School Parent Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Guardian / Family","guardian_family","70","No","Relationship to Student","New (plugin-defined)","relationship_to_student","Relationship to Student","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","{""mother"":""Mother"",""father"":""Father"",""legal_guardian"":""Legal guardian"",""other"":""Other""}","","50","Parent","School Parent Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Professional","professional","50","No","Parent Occupation","New (plugin-defined)","parent_occupation","Parent Occupation","text","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":150}","10","Parent","School Parent Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","School","school","10","Yes","Student|student|10; Teacher|teacher|20; Parent|parent|30; Principal|principal|40","See Organization Setup record for School","Employment","employment","40","No","School Designation","New (plugin-defined)","school_designation","School Designation","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","{""teacher"":""Teacher"",""senior_teacher"":""Senior teacher"",""coordinator"":""Coordinator"",""vice_principal"":""Vice principal"",""principal"":""Principal""}","","10","Teacher; Principal","School Teacher Profile; School Principal Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Profile classification only; does not grant a Moodle role. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","ABC International School → school; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","See Organization Setup record for University","Identification","identification","30","No","University Student Number","New (plugin-defined)","university_student_number","University Student Number","text","","No","Yes","Inherit","Inherit","company","Yes","No","No","Yes","","","{""maxlength"":50}","10","Student","University Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Nova State University → university; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","See Organization Setup record for University","Identification","identification","30","No","University Registration Number","New (plugin-defined)","university_registration_number","University Registration Number","text","","No","No","Inherit","Inherit","site","Yes","No","No","Yes","","","{""maxlength"":80}","20","Student","University Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Nova State University → university; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","See Organization Setup record for University","Academic","academic","40","No","Admission Date","New (plugin-defined)","university_admission_date","Admission Date","date","","No","No","Inherit","Inherit","none","Yes","No","No","Yes","","","{""date"":true}","10","Student","University Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Nova State University → university; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","See Organization Setup record for University","Academic","academic","40","No","Student Status","New (plugin-defined)","university_student_status","Student Status","menu","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","[""Active"",""Deferred"",""Suspended"",""Withdrawn"",""Graduated""]","","20","Student","University Student Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Custom value is scoped by userid + companyid + fieldid. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Nova State University → university; default form: None; resolve by assigned user type","New organization-specific recommendation"
"Field Definition + Placement Map","3 Field Library → 5 Categories → 6 Form Fields","University","university","20","Yes","Student|student|10; Faculty|faculty|20; Researcher|researcher|30; Staff|staff|40; Alumni|alumni|50","See Organization Setup record for University","Academic","academic","40","No","Programme Name","New (plugin-defined)","university_programme_name","Programme Name","text","","No","Yes","Inherit","Inherit","none","Yes","No","No","Yes","","","{""maxlength"":200}","30","Student; Alumni","University Student Profile; University Alumni Profile","Field Library; Form Categories; Form Fields","Create once in Field Library, then attach to the listed forms and category.","Profile attribute only; it does not replace Moodle Course or IOMAD Department. Sensitive=Yes requires local/orgprofile:viewsensitive and editsensitive.","Nova State University → university; default form: None; resolve by assigned user type","New organization-specific recommendation"
